comment,date,author,like_count,reply_count,sentiment
"So where can we preorder, or order this?",2023-04-04 19:14:06+00:00,Daniel Osawaru,0,0,0
Это очень круто,2023-04-04 13:27:46+00:00,"Короче, ВИ",0,0,0
Where can I buy itttttt 50 bucks?,2023-04-03 18:23:35+00:00,何も言えなくて. . .草,0,0,0
ca u provide the code?,2023-04-02 05:52:01+00:00,Sapan Sandhu,0,0,0
Shut up and take my money,2023-03-19 14:55:50+00:00,Dr. Fancy Ng'andwe,0,0,0
How to purchase this product,2023-03-19 14:39:07+00:00,NRS Fact,0,0,0
mantap,2023-03-15 00:39:58+00:00,KubikDistro,0,0,0
"*Удивительно необычайные часы притягивающие к себе внимание! Это магия времени, братан! Спасибо!*",2023-03-14 09:06:02+00:00,Video Leaks,1,0,0
"Mince il dévoile le secret de la pendule du grand HOUDINI, En moins bien, 😁",2023-03-10 23:09:40+00:00,cassandre,0,0,0
Where can I buy this?,2023-03-07 12:39:01+00:00,Rahul Muddhapuram,0,0,0
You are a genious guy,2023-03-06 15:41:00+00:00,ProSavage,0,0,0
Can i buy it?,2023-03-01 18:15:07+00:00,Isa Maulana,0,0,0
Zabavno!!!,2023-03-01 13:19:32+00:00,MrVasher,0,0,0
Esta a la venta?,2023-02-28 22:20:37+00:00,Robb Gomez,0,0,0
10/10,2023-02-27 17:48:59+00:00,Валентин Гришкин,0,0,0
Cảm ơn bạn,2023-02-25 06:24:18+00:00,Anh Phan,0,0,0
Do you have a private class?,2023-02-24 14:45:02+00:00,KPiece Emmry,0,0,0
You are a genius 🙌,2023-02-20 18:40:48+00:00,Mansi's Handmade,0,1,0
Are you selling any?,2023-02-19 22:06:04+00:00,Jord83uk,0,0,0
🔥🔥,2023-02-19 14:10:56+00:00,Mayukh Das,0,0,0
From where can I get this watch (order) ?,2023-02-19 11:49:19+00:00,Ҝ卂ㄩ丂卂尺    卂卄爪乇ᗪ    爪卂ㄩ丂卂爪,0,0,0
Ingenious 👍🏽👍👍🏻,2023-02-19 00:24:37+00:00,Raziel,0,0,0
Magnets,2023-02-18 04:38:20+00:00,Harms,0,0,0
Where can I buy it?,2023-02-17 22:26:45+00:00,robser,0,0,0
руки как у индуса,2023-02-17 18:02:09+00:00,eeeMan.rg Rori,0,0,0
"i have been here since 2019, gotta say the video quality has improved",2023-02-17 09:59:39+00:00,aj,0,0,0
Hats off bro 🤟,2023-02-17 05:32:18+00:00,Deep Bansal,0,0,0
"how ""acurate"" the time generator is? [pps]",2023-02-16 19:47:38+00:00,František Zápotocký,0,0,0
Dude your thinking level 🫡🔥,2023-02-16 17:57:21+00:00,AHMED AMEEN,0,1,0
Where is the RTC ??,2023-02-16 17:46:24+00:00,Abhijeetbyte,1,0,0
Where can i buy this ?,2023-02-16 16:18:09+00:00,Erik Zizer,0,0,0
How can I buy this clock?,2023-02-16 13:18:00+00:00,SAKSHAM SAXENA,0,0,0
💯👍,2023-02-16 07:17:06+00:00,Резервный фонд. Виктор Суслин,0,0,0
Magnets,2023-02-16 06:49:40+00:00,xspager,0,1,0
I’d 100% buy a completed one. Unfortunately I’m too stupid to even endeavor to do it myself.,2023-02-16 03:56:43+00:00,stigofdunsfold,1,0,0
LED version and you've got a legit product.,2023-02-16 03:23:51+00:00,D,0,0,0
這是我03年參加設計比賽的作品，不過指針我是用繩子綁著鐵球,2023-02-15 13:14:57+00:00,MAX HSU,0,0,0
what about a second handdddddd,2023-02-15 11:37:02+00:00,hiuwo,0,0,0
excellant !!,2023-02-15 08:46:31+00:00,Tejas Juvekar,0,0,0
Call it Hol o'clock,2023-02-15 03:21:42+00:00,Ivan,0,1,0
OVER ENGINEER,2023-02-15 01:54:40+00:00,Aulilia,0,0,0
Time to buy a 3D printer,2023-02-14 18:40:40+00:00,weird soul,0,0,0
The visible rotating circle is ruining the magic,2023-02-14 17:47:44+00:00,Булат Миннуллин,0,0,0
crazyyyyy,2023-02-14 17:01:20+00:00,Speedy Singh Music ,0,0,0
Whoa that clock is sick,2023-02-14 16:21:38+00:00,DEMKO Mashkov,0,0,0
Can i buy this product,2023-02-14 07:50:47+00:00,SACHIN M NAIK,0,0,0
can I buy his??,2023-02-14 07:43:38+00:00,Mandeep Singh,0,0,0
that's dope,2023-02-14 07:34:43+00:00,Daniel Tandello,0,0,0
Prefectly.,2023-02-14 05:44:46+00:00,stilllife8,0,0,0
where can i buy this product?,2023-02-14 04:45:58+00:00,Sam Jackson,0,0,0
Insane,2023-02-14 01:47:21+00:00,Fabricio de Oliveira Silva,0,0,0
prefectly accurate,2023-02-14 00:37:56+00:00,TheSoarc,0,0,0
Mind blowing!,2023-02-14 00:35:24+00:00,Alexandre Barreto,0,0,0
"без модуля реального времени с кварцевым резонатором никакой точности у часов не будет. хорошо если за сутки минута будет отставания или опережения, а могут и все 5. часы нужно доработать в этом плане",2023-02-13 16:58:35+00:00,Дмитрий Стамбула,2,0,0
Take my money,2023-02-13 12:20:38+00:00,Salvatore Sal,0,0,0
"那藍色齒輪放在那裡怎沒看到
視頻怪怪的不完整",2023-02-13 11:54:18+00:00,龍志芳,0,0,0
Jabardast,2023-02-13 10:35:09+00:00,Kokuyo Camlin,0,0,0
didn't he order green PCB but got white?,2023-02-13 06:57:36+00:00,jowarnis,0,0,0
"As long as it's ""prefectly accurate"" I'm in.",2023-02-13 04:35:58+00:00,Timo Kotipelto,0,0,0
I stopped watching the video from first of all I printed the parts using my 3d Printer :),2023-02-13 01:36:06+00:00,Kartikeya Vashisth,1,0,0
Prefect!,2023-02-13 01:20:48+00:00,James Barclay,0,0,0
"такие вещи надо делать на часах реального времени! и должен быть датчик холла или оптический датчик , который будет компенсировать неточнось механики раз в час или раз в 12 часов.",2023-02-12 20:50:29+00:00,Tim Steel,0,0,0
Вставка рекламы в ролики и впаривание всякой хрени - это неуважение своих подписчиков и гостей канала.Хватит воровать наше время! Дизлайк!!!,2023-02-12 18:47:32+00:00,M M,0,0,0
printed circuit board boards,2023-02-12 17:23:51+00:00,Charlotte,0,0,0
I would buy it,2023-02-12 16:59:31+00:00,Batman,0,0,0
Which shouldering iron do you  use,2023-02-12 15:55:41+00:00,no31 D,0,0,0
Where can I buy this?,2023-02-12 13:39:42+00:00,Tushar Goyal,0,0,0
"ну такое себе, лучше бы сделать чтоб стекло вращалось вместе с часовой стрелкой, а минутная двигалась магнитом - тогда будет сложно визуально понять за счёт чего движутся стрелки и это создаст должный эффект.",2023-02-12 13:28:01+00:00,Draude Nihelem,0,0,0
Magnifique bravo à toi,2023-02-12 09:13:37+00:00,Vincent Bellamy,0,0,0
legends are watching without 3d printer,2023-02-12 08:36:06+00:00,IT_0072_PRANJAL_BAJPAI,0,0,0
sell your product on amazon,2023-02-12 07:27:14+00:00,dev,0,0,0
👍,2023-02-12 03:37:55+00:00,Shoaib Khan,0,0,0
👍 👍 👍,2023-02-12 02:57:31+00:00,BWWKH,0,0,0
what study did you do to have this expertise,2023-02-12 00:43:07+00:00,Noé Bellet,0,0,0
pERfectly.,2023-02-11 22:38:54+00:00,An Ordinary Man,0,0,0
Hey @TheWrench...should I use SLA or FDM technology ?!,2023-02-11 18:53:51+00:00,Arghya Gain,0,0,0
Make a video On diy infinity stones,2023-02-11 18:21:38+00:00,CGS GAMING,0,0,0
Invention,2023-02-11 17:40:42+00:00,Doudo,0,0,0
Поставь подсветку неоновую по кругу будет круто!,2023-02-11 17:07:02+00:00,С Ж,0,0,0
I wanna buy it. 😍,2023-02-11 16:07:12+00:00,Nayan Jyoti Haloi,0,0,0
"MəşəAllah.
Mükəmməl iş.",2023-02-11 15:13:03+00:00,Tural Memmedov,0,0,0
"Incrível, você acabou de ganhar mais um inscrito no canal",2023-02-11 09:57:05+00:00,LUIS HENRIQUE,11,0,0
"Things you need
1. 3D printer",2023-02-11 06:23:28+00:00,Bibhu,1,0,0
invest,2023-02-11 04:18:55+00:00,Mob Guy,0,0,0
next time make tensa zangetsu clock...💀💀,2023-02-11 04:04:34+00:00,jack01,0,0,0
Hi,2023-02-11 02:55:12+00:00,ASHRAF KADABAGERE,0,0,0
Cooolll !!!,2023-02-10 12:31:22+00:00,Просто Вадим,2,0,0
My gf now wants a Hollow Cock. I mean clock,2023-02-10 09:50:34+00:00,Subhradeep Sharma,0,0,0
Китайцам покажите. Через день на али появятся.,2023-02-10 07:52:31+00:00,Михаил Шилин,1,0,0
your are genius 😮😮,2023-02-09 22:59:49+00:00,roksana khan,1,0,0
"Short crisp intelligent ,both video and invention",2023-02-09 17:18:30+00:00,HARIKRISHNAN A A,1,0,0
👍,2023-02-08 11:22:51+00:00,Harish Tiwari,1,0,0
how to set time,2023-02-08 09:49:14+00:00,mahdi hasan,1,1,0
How to tell minutes.... It's only showing hours,2023-02-07 14:36:00+00:00,sree ram,1,3,0
Plsss give me this product,2023-02-07 02:34:35+00:00,Joopa 007,1,0,0
Menu v bnaado sir,2023-02-07 02:34:21+00:00,Joopa 007,1,1,0
Bhai kuch esa bna jo sab bana apye simple phaltu ka chochala nahi bana 3d printer,2023-02-06 05:53:28+00:00,Aditya !!!,1,0,0
I'm,2023-02-03 14:20:55+00:00,Sujit Chaudhari,1,0,0
Clock asks bro what is time,2023-02-02 15:09:07+00:00,Meher Vivek,2,0,0
Wasn't the driver needed?,2023-02-02 13:23:11+00:00,Julio Oliveira,1,2,0
Price SIR,2023-02-02 09:08:13+00:00,SANJOY TUDU,1,0,0
wheres the 3d printer ilnk?,2023-02-02 07:43:16+00:00,J_Net Reloaded,1,1,0
Besttt,2023-02-02 07:42:02+00:00,Shuvo's Projects STS,1,1,0
とても優れたデザインと機能👍🏻👍🏻👍🏻👍🏻👍🏻,2023-02-02 07:38:34+00:00,マグカップ,1,1,0
Hi bro ❤️,2023-02-02 07:31:36+00:00,Rajeev,2,2,0
First,2023-02-02 07:31:35+00:00,Utku0348,1,0,0
First,2023-02-02 07:31:35+00:00,Draw my Ideas,0,0,0
One,2023-02-02 07:31:17+00:00,Utku0348,1,0,0
